example_id,video_feature_path,audio_feature_path,label
1,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-01.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-01.npy,neutral
2,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-02.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-02.npy,neutral
3,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-03.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-03.npy,neutral
4,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-04.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-04.npy,neutral
5,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-05.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-05.npy,neutral
6,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-06.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-06.npy,neutral
7,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-07.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-07.npy,neutral
8,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-08.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-08.npy,neutral
9,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-09.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-09.npy,neutral
10,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-10.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-10.npy,neutral
11,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-11.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-11.npy,neutral
12,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-12.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-12.npy,neutral
13,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-13.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-13.npy,neutral
14,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-14.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-14.npy,neutral
15,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-15.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-15.npy,neutral
16,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-16.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-16.npy,neutral
17,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-17.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-17.npy,neutral
18,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-18.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-18.npy,neutral
19,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-19.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-19.npy,neutral
20,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-20.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-20.npy,neutral
21,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-21.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-21.npy,neutral
22,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-22.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-22.npy,neutral
23,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-23.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-23.npy,neutral
24,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/videos/02-01-01-01-01-01-24.npy,/mnt/c/users/admin/desktop/rp/dataset/ravdess/feats/audio/03-01-01-01-01-01-24.npy,neutral
