example_id,video_feature_path,audio_feature_path,label
1,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0001.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0001.npy,neutral
2,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0002.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0002.npy,neutral
3,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0003.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0003.npy,neutral
4,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0004.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0004.npy,neutral
5,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0005.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0005.npy,calm
6,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0006.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0006.npy,calm
7,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0007.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0007.npy,calm
8,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0008.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0008.npy,calm
9,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0009.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0009.npy,calm
10,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0010.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0010.npy,calm
11,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0011.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0011.npy,calm
12,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0012.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0012.npy,calm
13,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0013.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0013.npy,happy
14,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0014.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0014.npy,happy
15,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0015.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0015.npy,happy
16,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0016.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0016.npy,happy
17,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0017.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0017.npy,happy
18,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0018.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0018.npy,happy
19,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0019.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0019.npy,happy
20,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0020.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0020.npy,happy
21,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0021.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0021.npy,sad
22,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0022.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0022.npy,sad
23,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0023.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0023.npy,sad
24,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0024.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0024.npy,sad
25,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0025.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0025.npy,sad
26,/mnt/c/users/admin/desktop/rp/dataset/feats/video/vid0026.npy,/mnt/c/users/admin/desktop/rp/dataset/feats/audio/aud0026.npy,sad
